date,USO_unscaled,USO_monthly,isPartial,scale,USO
2016-06-30,74,23.0,,0.23,17.02
2016-07-01,41,24.0,False,0.24,9.84
2016-07-02,35,24.0,,0.24,8.4
2016-07-03,32,24.0,,0.24,7.68
2016-07-04,37,24.0,,0.24,8.879999999999999
2016-07-05,100,24.0,,0.24,24.0
2016-07-06,37,24.0,,0.24,8.879999999999999
2016-07-07,37,24.0,,0.24,8.879999999999999
2016-07-08,42,24.0,,0.24,10.08
2016-07-09,29,24.0,,0.24,6.96
2016-07-10,24,24.0,,0.24,5.76
2016-07-11,37,24.0,,0.24,8.879999999999999
2016-07-12,40,24.0,,0.24,9.6
2016-07-13,40,24.0,,0.24,9.6
2016-07-14,32,24.0,,0.24,7.68
2016-07-15,37,24.0,,0.24,8.879999999999999
2016-07-16,34,24.0,,0.24,8.16
2016-07-17,28,24.0,,0.24,6.72
2016-07-18,35,24.0,,0.24,8.4
2016-07-19,41,24.0,,0.24,9.84
2016-07-20,40,24.0,,0.24,9.6
2016-07-21,35,24.0,,0.24,8.4
2016-07-22,40,24.0,,0.24,9.6
2016-07-23,24,24.0,,0.24,5.76
2016-07-24,25,24.0,,0.24,6.0
2016-07-25,28,24.0,,0.24,6.72
2016-07-26,35,24.0,,0.24,8.4
2016-07-27,36,24.0,,0.24,8.64
2016-07-28,35,24.0,,0.24,8.4
2016-07-29,42,24.0,,0.24,10.08
2016-07-30,21,24.0,,0.24,5.04
2016-07-31,25,24.0,,0.24,6.0
2016-08-01,80,22.0,False,0.22,17.6
2016-08-02,77,22.0,,0.22,16.94
2016-08-03,99,22.0,,0.22,21.78
2016-08-04,92,22.0,,0.22,20.24
2016-08-05,95,22.0,,0.22,20.9
2016-08-06,55,22.0,,0.22,12.1
2016-08-07,50,22.0,,0.22,11.0
2016-08-08,81,22.0,,0.22,17.82
2016-08-09,85,22.0,,0.22,18.7
2016-08-10,100,22.0,,0.22,22.0
2016-08-11,96,22.0,,0.22,21.12
2016-08-12,74,22.0,,0.22,16.28
2016-08-13,45,22.0,,0.22,9.9
2016-08-14,61,22.0,,0.22,13.42
2016-08-15,91,22.0,,0.22,20.02
2016-08-16,89,22.0,,0.22,19.580000000000002
2016-08-17,79,22.0,,0.22,17.38
2016-08-18,94,22.0,,0.22,20.68
2016-08-19,90,22.0,,0.22,19.8
2016-08-20,72,22.0,,0.22,15.84
2016-08-21,55,22.0,,0.22,12.1
2016-08-22,77,22.0,,0.22,16.94
2016-08-23,85,22.0,,0.22,18.7
2016-08-24,91,22.0,,0.22,20.02
2016-08-25,89,22.0,,0.22,19.580000000000002
2016-08-26,73,22.0,,0.22,16.06
2016-08-27,49,22.0,,0.22,10.78
2016-08-28,62,22.0,,0.22,13.64
2016-08-29,91,22.0,,0.22,20.02
2016-08-30,81,22.0,,0.22,17.82
2016-08-31,88,22.0,,0.22,19.36
2016-09-01,97,21.0,False,0.21,20.37
2016-09-02,95,21.0,,0.21,19.95
2016-09-03,64,21.0,,0.21,13.44
2016-09-04,64,21.0,,0.21,13.44
2016-09-05,75,21.0,,0.21,15.75
2016-09-06,86,21.0,,0.21,18.06
2016-09-07,83,21.0,,0.21,17.43
2016-09-08,89,21.0,,0.21,18.689999999999998
2016-09-09,80,21.0,,0.21,16.8
2016-09-10,69,21.0,,0.21,14.49
2016-09-11,58,21.0,,0.21,12.18
2016-09-12,94,21.0,,0.21,19.74
2016-09-13,69,21.0,,0.21,14.49
2016-09-14,75,21.0,,0.21,15.75
2016-09-15,73,21.0,,0.21,15.33
2016-09-16,69,21.0,,0.21,14.49
2016-09-17,66,21.0,,0.21,13.86
2016-09-18,53,21.0,,0.21,11.129999999999999
2016-09-19,76,21.0,,0.21,15.959999999999999
2016-09-20,71,21.0,,0.21,14.91
2016-09-21,88,21.0,,0.21,18.48
2016-09-22,74,21.0,,0.21,15.54
2016-09-23,76,21.0,,0.21,15.959999999999999
2016-09-24,57,21.0,,0.21,11.969999999999999
2016-09-25,58,21.0,,0.21,12.18
2016-09-26,79,21.0,,0.21,16.59
2016-09-27,75,21.0,,0.21,15.75
2016-09-28,100,21.0,,0.21,21.0
2016-09-29,92,21.0,,0.21,19.32
2016-09-30,74,21.0,,0.21,15.54
2016-10-01,59,20.0,False,0.2,11.8
2016-10-02,69,20.0,,0.2,13.8
2016-10-03,94,20.0,,0.2,18.8
2016-10-04,100,20.0,,0.2,20.0
2016-10-05,70,20.0,,0.2,14.0
2016-10-06,74,20.0,,0.2,14.8
2016-10-07,68,20.0,,0.2,13.600000000000001
2016-10-08,65,20.0,,0.2,13.0
2016-10-09,74,20.0,,0.2,14.8
2016-10-10,84,20.0,,0.2,16.8
2016-10-11,86,20.0,,0.2,17.2
2016-10-12,94,20.0,,0.2,18.8
2016-10-13,91,20.0,,0.2,18.2
2016-10-14,84,20.0,,0.2,16.8
2016-10-15,51,20.0,,0.2,10.200000000000001
2016-10-16,68,20.0,,0.2,13.600000000000001
2016-10-17,81,20.0,,0.2,16.2
2016-10-18,68,20.0,,0.2,13.600000000000001
2016-10-19,94,20.0,,0.2,18.8
2016-10-20,91,20.0,,0.2,18.2
2016-10-21,76,20.0,,0.2,15.200000000000001
2016-10-22,64,20.0,,0.2,12.8
2016-10-23,73,20.0,,0.2,14.600000000000001
2016-10-24,83,20.0,,0.2,16.6
2016-10-25,85,20.0,,0.2,17.0
2016-10-26,75,20.0,,0.2,15.0
2016-10-27,79,20.0,,0.2,15.8
2016-10-28,81,20.0,,0.2,16.2
2016-10-29,68,20.0,,0.2,13.600000000000001
2016-10-30,54,20.0,,0.2,10.8
2016-10-31,73,20.0,,0.2,14.600000000000001
2016-11-01,82,21.0,False,0.21,17.22
2016-11-02,60,21.0,,0.21,12.6
2016-11-03,69,21.0,,0.21,14.49
2016-11-04,71,21.0,,0.21,14.91
2016-11-05,53,21.0,,0.21,11.129999999999999
2016-11-06,51,21.0,,0.21,10.709999999999999
2016-11-07,83,21.0,,0.21,17.43
2016-11-08,96,21.0,,0.21,20.16
2016-11-09,65,21.0,,0.21,13.65
2016-11-10,92,21.0,,0.21,19.32
2016-11-11,94,21.0,,0.21,19.74
2016-11-12,58,21.0,,0.21,12.18
2016-11-13,69,21.0,,0.21,14.49
2016-11-14,80,21.0,,0.21,16.8
2016-11-15,80,21.0,,0.21,16.8
2016-11-16,85,21.0,,0.21,17.849999999999998
2016-11-17,71,21.0,,0.21,14.91
2016-11-18,66,21.0,,0.21,13.86
2016-11-19,57,21.0,,0.21,11.969999999999999
2016-11-20,50,21.0,,0.21,10.5
2016-11-21,71,21.0,,0.21,14.91
2016-11-22,64,21.0,,0.21,13.44
2016-11-23,78,21.0,,0.21,16.38
2016-11-24,69,21.0,,0.21,14.49
2016-11-25,52,21.0,,0.21,10.92
2016-11-26,58,21.0,,0.21,12.18
2016-11-27,61,21.0,,0.21,12.809999999999999
2016-11-28,71,21.0,,0.21,14.91
2016-11-29,76,21.0,,0.21,15.959999999999999
2016-11-30,100,21.0,,0.21,21.0
2016-12-01,100,21.0,False,0.21,21.0
2016-12-02,65,21.0,,0.21,13.65
2016-12-03,61,21.0,,0.21,12.809999999999999
2016-12-04,61,21.0,,0.21,12.809999999999999
2016-12-05,71,21.0,,0.21,14.91
2016-12-06,70,21.0,,0.21,14.7
2016-12-07,70,21.0,,0.21,14.7
2016-12-08,72,21.0,,0.21,15.12
2016-12-09,63,21.0,,0.21,13.229999999999999
2016-12-10,60,21.0,,0.21,12.6
2016-12-11,60,21.0,,0.21,12.6
2016-12-12,75,21.0,,0.21,15.75
2016-12-13,90,21.0,,0.21,18.9
2016-12-14,80,21.0,,0.21,16.8
2016-12-15,78,21.0,,0.21,16.38
2016-12-16,73,21.0,,0.21,15.33
2016-12-17,69,21.0,,0.21,14.49
2016-12-18,61,21.0,,0.21,12.809999999999999
2016-12-19,65,21.0,,0.21,13.65
2016-12-20,79,21.0,,0.21,16.59
2016-12-21,76,21.0,,0.21,15.959999999999999
2016-12-22,62,21.0,,0.21,13.02
2016-12-23,76,21.0,,0.21,15.959999999999999
2016-12-24,49,21.0,,0.21,10.29
2016-12-25,46,21.0,,0.21,9.66
2016-12-26,55,21.0,,0.21,11.549999999999999
2016-12-27,75,21.0,,0.21,15.75
2016-12-28,89,21.0,,0.21,18.689999999999998
2016-12-29,61,21.0,,0.21,12.809999999999999
2016-12-30,70,21.0,,0.21,14.7
2016-12-31,45,21.0,,0.21,9.45
2017-01-01,62,18.0,False,0.18,11.16
2017-01-02,89,18.0,,0.18,16.02
2017-01-03,100,18.0,,0.18,18.0
2017-01-04,81,18.0,,0.18,14.58
2017-01-05,95,18.0,,0.18,17.099999999999998
2017-01-06,75,18.0,,0.18,13.5
2017-01-07,76,18.0,,0.18,13.68
2017-01-08,57,18.0,,0.18,10.26
2017-01-09,79,18.0,,0.18,14.219999999999999
2017-01-10,70,18.0,,0.18,12.6
2017-01-11,77,18.0,,0.18,13.86
2017-01-12,78,18.0,,0.18,14.04
2017-01-13,67,18.0,,0.18,12.059999999999999
2017-01-14,56,18.0,,0.18,10.08
2017-01-15,55,18.0,,0.18,9.9
2017-01-16,68,18.0,,0.18,12.24
2017-01-17,80,18.0,,0.18,14.399999999999999
2017-01-18,79,18.0,,0.18,14.219999999999999
2017-01-19,78,18.0,,0.18,14.04
2017-01-20,84,18.0,,0.18,15.12
2017-01-21,57,18.0,,0.18,10.26
2017-01-22,56,18.0,,0.18,10.08
2017-01-23,69,18.0,,0.18,12.42
2017-01-24,69,18.0,,0.18,12.42
2017-01-25,92,18.0,,0.18,16.56
2017-01-26,87,18.0,,0.18,15.66
2017-01-27,67,18.0,,0.18,12.059999999999999
2017-01-28,56,18.0,,0.18,10.08
2017-01-29,60,18.0,,0.18,10.799999999999999
2017-01-30,67,18.0,,0.18,12.059999999999999
2017-01-31,72,18.0,,0.18,12.959999999999999
2017-02-01,81,19.0,False,0.19,15.39
2017-02-02,77,19.0,,0.19,14.63
2017-02-03,75,19.0,,0.19,14.25
2017-02-04,71,19.0,,0.19,13.49
2017-02-05,70,19.0,,0.19,13.3
2017-02-06,65,19.0,,0.19,12.35
2017-02-07,77,19.0,,0.19,14.63
2017-02-08,75,19.0,,0.19,14.25
2017-02-09,83,19.0,,0.19,15.77
2017-02-10,75,19.0,,0.19,14.25
2017-02-11,70,19.0,,0.19,13.3
2017-02-12,69,19.0,,0.19,13.11
2017-02-13,98,19.0,,0.19,18.62
2017-02-14,70,19.0,,0.19,13.3
2017-02-15,95,19.0,,0.19,18.05
2017-02-16,82,19.0,,0.19,15.58
2017-02-17,70,19.0,,0.19,13.3
2017-02-18,79,19.0,,0.19,15.01
2017-02-19,71,19.0,,0.19,13.49
2017-02-20,60,19.0,,0.19,11.4
2017-02-21,100,19.0,,0.19,19.0
2017-02-22,82,19.0,,0.19,15.58
2017-02-23,78,19.0,,0.19,14.82
2017-02-24,76,19.0,,0.19,14.44
2017-02-25,67,19.0,,0.19,12.73
2017-02-26,59,19.0,,0.19,11.21
2017-02-27,76,19.0,,0.19,14.44
2017-02-28,75,19.0,,0.19,14.25
2017-03-01,73,19.0,False,0.19,13.870000000000001
2017-03-02,81,19.0,,0.19,15.39
2017-03-03,78,19.0,,0.19,14.82
2017-03-04,69,19.0,,0.19,13.11
2017-03-05,58,19.0,,0.19,11.02
2017-03-06,75,19.0,,0.19,14.25
2017-03-07,81,19.0,,0.19,15.39
2017-03-08,81,19.0,,0.19,15.39
2017-03-09,88,19.0,,0.19,16.72
2017-03-10,78,19.0,,0.19,14.82
2017-03-11,69,19.0,,0.19,13.11
2017-03-12,69,19.0,,0.19,13.11
2017-03-13,76,19.0,,0.19,14.44
2017-03-14,92,19.0,,0.19,17.48
2017-03-15,76,19.0,,0.19,14.44
2017-03-16,78,19.0,,0.19,14.82
2017-03-17,58,19.0,,0.19,11.02
2017-03-18,61,19.0,,0.19,11.59
2017-03-19,71,19.0,,0.19,13.49
2017-03-20,78,19.0,,0.19,14.82
2017-03-21,87,19.0,,0.19,16.53
2017-03-22,100,19.0,,0.19,19.0
2017-03-23,78,19.0,,0.19,14.82
2017-03-24,76,19.0,,0.19,14.44
2017-03-25,62,19.0,,0.19,11.78
2017-03-26,77,19.0,,0.19,14.63
2017-03-27,82,19.0,,0.19,15.58
2017-03-28,83,19.0,,0.19,15.77
2017-03-29,89,19.0,,0.19,16.91
2017-03-30,76,19.0,,0.19,14.44
2017-03-31,81,19.0,,0.19,15.39
2017-04-01,77,18.0,False,0.18,13.86
2017-04-02,64,18.0,,0.18,11.52
2017-04-03,86,18.0,,0.18,15.479999999999999
2017-04-04,80,18.0,,0.18,14.399999999999999
2017-04-05,91,18.0,,0.18,16.38
2017-04-06,83,18.0,,0.18,14.94
2017-04-07,100,18.0,,0.18,18.0
2017-04-08,82,18.0,,0.18,14.76
2017-04-09,64,18.0,,0.18,11.52
2017-04-10,75,18.0,,0.18,13.5
2017-04-11,74,18.0,,0.18,13.32
2017-04-12,81,18.0,,0.18,14.58
2017-04-13,82,18.0,,0.18,14.76
2017-04-14,58,18.0,,0.18,10.44
2017-04-15,60,18.0,,0.18,10.799999999999999
2017-04-16,67,18.0,,0.18,12.059999999999999
2017-04-17,78,18.0,,0.18,14.04
2017-04-18,79,18.0,,0.18,14.219999999999999
2017-04-19,83,18.0,,0.18,14.94
2017-04-20,75,18.0,,0.18,13.5
2017-04-21,74,18.0,,0.18,13.32
2017-04-22,65,18.0,,0.18,11.7
2017-04-23,64,18.0,,0.18,11.52
2017-04-24,84,18.0,,0.18,15.12
2017-04-25,86,18.0,,0.18,15.479999999999999
2017-04-26,71,18.0,,0.18,12.78
2017-04-27,96,18.0,,0.18,17.28
2017-04-28,75,18.0,,0.18,13.5
2017-04-29,64,18.0,,0.18,11.52
2017-04-30,46,18.0,,0.18,8.28
2017-05-01,63,20.0,False,0.2,12.600000000000001
2017-05-02,76,20.0,,0.2,15.200000000000001
2017-05-03,77,20.0,,0.2,15.4
2017-05-04,76,20.0,,0.2,15.200000000000001
2017-05-05,75,20.0,,0.2,15.0
2017-05-06,52,20.0,,0.2,10.4
2017-05-07,61,20.0,,0.2,12.200000000000001
2017-05-08,73,20.0,,0.2,14.600000000000001
2017-05-09,74,20.0,,0.2,14.8
2017-05-10,66,20.0,,0.2,13.200000000000001
2017-05-11,72,20.0,,0.2,14.4
2017-05-12,58,20.0,,0.2,11.600000000000001
2017-05-13,62,20.0,,0.2,12.4
2017-05-14,62,20.0,,0.2,12.4
2017-05-15,76,20.0,,0.2,15.200000000000001
2017-05-16,81,20.0,,0.2,16.2
2017-05-17,71,20.0,,0.2,14.200000000000001
2017-05-18,88,20.0,,0.2,17.6
2017-05-19,79,20.0,,0.2,15.8
2017-05-20,74,20.0,,0.2,14.8
2017-05-21,58,20.0,,0.2,11.600000000000001
2017-05-22,95,20.0,,0.2,19.0
2017-05-23,75,20.0,,0.2,15.0
2017-05-24,73,20.0,,0.2,14.600000000000001
2017-05-25,100,20.0,,0.2,20.0
2017-05-26,90,20.0,,0.2,18.0
2017-05-27,65,20.0,,0.2,13.0
2017-05-28,58,20.0,,0.2,11.600000000000001
2017-05-29,65,20.0,,0.2,13.0
2017-05-30,64,20.0,,0.2,12.8
2017-05-31,79,20.0,,0.2,15.8
2017-06-01,97,20.0,False,0.2,19.400000000000002
2017-06-02,85,20.0,,0.2,17.0
2017-06-03,71,20.0,,0.2,14.200000000000001
2017-06-04,59,20.0,,0.2,11.8
2017-06-05,94,20.0,,0.2,18.8
2017-06-06,73,20.0,,0.2,14.600000000000001
2017-06-07,83,20.0,,0.2,16.6
2017-06-08,77,20.0,,0.2,15.4
2017-06-09,99,20.0,,0.2,19.8
2017-06-10,76,20.0,,0.2,15.200000000000001
2017-06-11,59,20.0,,0.2,11.8
2017-06-12,93,20.0,,0.2,18.6
2017-06-13,77,20.0,,0.2,15.4
2017-06-14,86,20.0,,0.2,17.2
2017-06-15,88,20.0,,0.2,17.6
2017-06-16,75,20.0,,0.2,15.0
2017-06-17,81,20.0,,0.2,16.2
2017-06-18,65,20.0,,0.2,13.0
2017-06-19,85,20.0,,0.2,17.0
2017-06-20,100,20.0,,0.2,20.0
2017-06-21,94,20.0,,0.2,18.8
2017-06-22,81,20.0,,0.2,16.2
2017-06-23,92,20.0,,0.2,18.400000000000002
2017-06-24,71,20.0,,0.2,14.200000000000001
2017-06-25,76,20.0,,0.2,15.200000000000001
2017-06-26,83,20.0,,0.2,16.6
2017-06-27,97,20.0,,0.2,19.400000000000002
2017-06-28,94,20.0,,0.2,18.8
2017-06-29,93,20.0,,0.2,18.6
2017-06-30,94,20.0,,0.2,18.8
2017-07-01,60,22.0,False,0.22,13.2
2017-07-02,67,22.0,,0.22,14.74
2017-07-03,70,22.0,,0.22,15.4
2017-07-04,96,22.0,,0.22,21.12
2017-07-05,100,22.0,,0.22,22.0
2017-07-06,85,22.0,,0.22,18.7
2017-07-07,81,22.0,,0.22,17.82
2017-07-08,68,22.0,,0.22,14.96
2017-07-09,69,22.0,,0.22,15.18
2017-07-10,76,22.0,,0.22,16.72
2017-07-11,74,22.0,,0.22,16.28
2017-07-12,75,22.0,,0.22,16.5
2017-07-13,82,22.0,,0.22,18.04
2017-07-14,72,22.0,,0.22,15.84
2017-07-15,69,22.0,,0.22,15.18
2017-07-16,60,22.0,,0.22,13.2
2017-07-17,66,22.0,,0.22,14.52
2017-07-18,82,22.0,,0.22,18.04
2017-07-19,77,22.0,,0.22,16.94
2017-07-20,63,22.0,,0.22,13.86
2017-07-21,78,22.0,,0.22,17.16
2017-07-22,56,22.0,,0.22,12.32
2017-07-23,61,22.0,,0.22,13.42
2017-07-24,81,22.0,,0.22,17.82
2017-07-25,88,22.0,,0.22,19.36
2017-07-26,75,22.0,,0.22,16.5
2017-07-27,58,22.0,,0.22,12.76
2017-07-28,72,22.0,,0.22,15.84
2017-07-29,57,22.0,,0.22,12.540000000000001
2017-07-30,57,22.0,,0.22,12.540000000000001
2017-07-31,60,22.0,,0.22,13.2
2017-08-01,97,21.0,False,0.21,20.37
2017-08-02,85,21.0,,0.21,17.849999999999998
2017-08-03,75,21.0,,0.21,15.75
2017-08-04,71,21.0,,0.21,14.91
2017-08-05,76,21.0,,0.21,15.959999999999999
2017-08-06,60,21.0,,0.21,12.6
2017-08-07,85,21.0,,0.21,17.849999999999998
2017-08-08,96,21.0,,0.21,20.16
2017-08-09,96,21.0,,0.21,20.16
2017-08-10,91,21.0,,0.21,19.11
2017-08-11,86,21.0,,0.21,18.06
2017-08-12,55,21.0,,0.21,11.549999999999999
2017-08-13,66,21.0,,0.21,13.86
2017-08-14,72,21.0,,0.21,15.12
2017-08-15,75,21.0,,0.21,15.75
2017-08-16,82,21.0,,0.21,17.22
2017-08-17,63,21.0,,0.21,13.229999999999999
2017-08-18,76,21.0,,0.21,15.959999999999999
2017-08-19,71,21.0,,0.21,14.91
2017-08-20,64,21.0,,0.21,13.44
2017-08-21,68,21.0,,0.21,14.28
2017-08-22,65,21.0,,0.21,13.65
2017-08-23,89,21.0,,0.21,18.689999999999998
2017-08-24,85,21.0,,0.21,17.849999999999998
2017-08-25,72,21.0,,0.21,15.12
2017-08-26,62,21.0,,0.21,13.02
2017-08-27,60,21.0,,0.21,12.6
2017-08-28,93,21.0,,0.21,19.529999999999998
2017-08-29,90,21.0,,0.21,18.9
2017-08-30,84,21.0,,0.21,17.64
2017-08-31,100,21.0,,0.21,21.0
2017-09-01,90,19.0,False,0.19,17.1
2017-09-02,75,19.0,,0.19,14.25
2017-09-03,74,19.0,,0.19,14.06
2017-09-04,74,19.0,,0.19,14.06
2017-09-05,100,19.0,,0.19,19.0
2017-09-06,80,19.0,,0.19,15.2
2017-09-07,74,19.0,,0.19,14.06
2017-09-08,66,19.0,,0.19,12.540000000000001
2017-09-09,70,19.0,,0.19,13.3
2017-09-10,50,19.0,,0.19,9.5
2017-09-11,72,19.0,,0.19,13.68
2017-09-12,76,19.0,,0.19,14.44
2017-09-13,81,19.0,,0.19,15.39
2017-09-14,81,19.0,,0.19,15.39
2017-09-15,82,19.0,,0.19,15.58
2017-09-16,75,19.0,,0.19,14.25
2017-09-17,56,19.0,,0.19,10.64
2017-09-18,68,19.0,,0.19,12.92
2017-09-19,91,19.0,,0.19,17.29
2017-09-20,78,19.0,,0.19,14.82
2017-09-21,70,19.0,,0.19,13.3
2017-09-22,84,19.0,,0.19,15.96
2017-09-23,77,19.0,,0.19,14.63
2017-09-24,72,19.0,,0.19,13.68
2017-09-25,76,19.0,,0.19,14.44
2017-09-26,79,19.0,,0.19,15.01
2017-09-27,87,19.0,,0.19,16.53
2017-09-28,78,19.0,,0.19,14.82
2017-09-29,86,19.0,,0.19,16.34
2017-09-30,70,19.0,,0.19,13.3
2017-10-01,67,18.0,False,0.18,12.059999999999999
2017-10-02,79,18.0,,0.18,14.219999999999999
2017-10-03,80,18.0,,0.18,14.399999999999999
2017-10-04,100,18.0,,0.18,18.0
2017-10-05,94,18.0,,0.18,16.919999999999998
2017-10-06,85,18.0,,0.18,15.299999999999999
2017-10-07,85,18.0,,0.18,15.299999999999999
2017-10-08,72,18.0,,0.18,12.959999999999999
2017-10-09,99,18.0,,0.18,17.82
2017-10-10,92,18.0,,0.18,16.56
2017-10-11,85,18.0,,0.18,15.299999999999999
2017-10-12,89,18.0,,0.18,16.02
2017-10-13,76,18.0,,0.18,13.68
2017-10-14,52,18.0,,0.18,9.36
2017-10-15,60,18.0,,0.18,10.799999999999999
2017-10-16,89,18.0,,0.18,16.02
2017-10-17,88,18.0,,0.18,15.84
2017-10-18,83,18.0,,0.18,14.94
2017-10-19,86,18.0,,0.18,15.479999999999999
2017-10-20,88,18.0,,0.18,15.84
2017-10-21,73,18.0,,0.18,13.139999999999999
2017-10-22,71,18.0,,0.18,12.78
2017-10-23,90,18.0,,0.18,16.2
2017-10-24,94,18.0,,0.18,16.919999999999998
2017-10-25,82,18.0,,0.18,14.76
2017-10-26,83,18.0,,0.18,14.94
2017-10-27,85,18.0,,0.18,15.299999999999999
2017-10-28,68,18.0,,0.18,12.24
2017-10-29,76,18.0,,0.18,13.68
2017-10-30,85,18.0,,0.18,15.299999999999999
2017-10-31,80,18.0,,0.18,14.399999999999999
2017-11-01,62,21.0,False,0.21,13.02
2017-11-02,56,21.0,,0.21,11.76
2017-11-03,61,21.0,,0.21,12.809999999999999
2017-11-04,51,21.0,,0.21,10.709999999999999
2017-11-05,47,21.0,,0.21,9.87
2017-11-06,62,21.0,,0.21,13.02
2017-11-07,74,21.0,,0.21,15.54
2017-11-08,92,21.0,,0.21,19.32
2017-11-09,65,21.0,,0.21,13.65
2017-11-10,67,21.0,,0.21,14.07
2017-11-11,67,21.0,,0.21,14.07
2017-11-12,67,21.0,,0.21,14.07
2017-11-13,71,21.0,,0.21,14.91
2017-11-14,63,21.0,,0.21,13.229999999999999
2017-11-15,67,21.0,,0.21,14.07
2017-11-16,86,21.0,,0.21,18.06
2017-11-17,100,21.0,,0.21,21.0
2017-11-18,68,21.0,,0.21,14.28
2017-11-19,82,21.0,,0.21,17.22
2017-11-20,90,21.0,,0.21,18.9
2017-11-21,65,21.0,,0.21,13.65
2017-11-22,78,21.0,,0.21,16.38
2017-11-23,64,21.0,,0.21,13.44
2017-11-24,56,21.0,,0.21,11.76
2017-11-25,38,21.0,,0.21,7.9799999999999995
2017-11-26,62,21.0,,0.21,13.02
2017-11-27,54,21.0,,0.21,11.34
2017-11-28,63,21.0,,0.21,13.229999999999999
2017-11-29,63,21.0,,0.21,13.229999999999999
2017-11-30,72,21.0,,0.21,15.12
2017-12-01,79,19.0,False,0.19,15.01
2017-12-02,92,19.0,,0.19,17.48
2017-12-03,78,19.0,,0.19,14.82
2017-12-04,81,19.0,,0.19,15.39
2017-12-05,77,19.0,,0.19,14.63
2017-12-06,73,19.0,,0.19,13.870000000000001
2017-12-07,88,19.0,,0.19,16.72
2017-12-08,76,19.0,,0.19,14.44
2017-12-09,86,19.0,,0.19,16.34
2017-12-10,68,19.0,,0.19,12.92
2017-12-11,84,19.0,,0.19,15.96
2017-12-12,79,19.0,,0.19,15.01
2017-12-13,76,19.0,,0.19,14.44
2017-12-14,87,19.0,,0.19,16.53
2017-12-15,89,19.0,,0.19,16.91
2017-12-16,79,19.0,,0.19,15.01
2017-12-17,66,19.0,,0.19,12.540000000000001
2017-12-18,100,19.0,,0.19,19.0
2017-12-19,79,19.0,,0.19,15.01
2017-12-20,98,19.0,,0.19,18.62
2017-12-21,91,19.0,,0.19,17.29
2017-12-22,94,19.0,,0.19,17.86
2017-12-23,84,19.0,,0.19,15.96
2017-12-24,71,19.0,,0.19,13.49
2017-12-25,68,19.0,,0.19,12.92
2017-12-26,92,19.0,,0.19,17.48
2017-12-27,78,19.0,,0.19,14.82
2017-12-28,96,19.0,,0.19,18.240000000000002
2017-12-29,78,19.0,,0.19,14.82
2017-12-30,70,19.0,,0.19,13.3
2017-12-31,70,19.0,,0.19,13.3
2018-01-01,38,20.0,False,0.2,7.6000000000000005
